artist_name;track_name;track_id;popularity
Lewis Capaldi;Before You Go;2gMXnyrvIjhVBUZwvLZDMP;84,8
Pink Floyd;Round and Around - Remix 2019;1mi5VkGg9mwQ2v097ZSA8Q;27,81
Arizona Zervas;ROXANNE;696DnlkuDOXcMAnKlTgXXK;81,82
Pink Floyd;"Another Brick In the Wall; Part 2 - 2019 remix [Live]";1xUTI8Ce8IQnyYCGPmrbzS;34,83
Old Dominion;One Man Band;7cA3PnUQDlUyBBwpRozQeo;75,84
Pink Floyd;Sorrow - Remix 2019;1U9XWccgcdPw0ahaq2FDDS;28,85
Dayglow;Can I Call You Tonight?;64lsIF5pw0sJY0gV5kz0RN;79,86
Pink Floyd;Wish You Were Here - Live at Knebworth 1990;57Nc8KTrSOGqgjxfGzqRP1;35,87
Chris Brown;No Guidance (feat. Drake);6XHVuErjQ4XNm6nDPVCxVX;80,88
Pink Floyd;Time - 2019 remix [Live];4pXxIVE4YTBE8b5HQdjqOC;29,89
Lizzo;Truth Hurts;3HWzoMvoF3TQfYg4UPszDq;76,9
Pink Floyd;Yet Another Movie - Remix 2019;0oQlbs16wtdkKYoSfVAQUt;28,91
Post Malone;Wow.;7xQAfvXzm3AkraOtGPWIZg;80,92
Pink Floyd;Comfortably Numb - 2019 remix [Live];5L7ge1RYPPhLyzXKTSdXjb;29,93
Machine Gun Kelly;I Think I'm OKAY (with YUNGBLUD & Travis Barker);2gTdDMpNxIRFSiu7HutMCg;78,94
Pink Floyd;Learning to Fly - 2019 remix [Live];1sBMXOXdWkhsho4mPlMOl7;29,95
Lil Tjay;F.N;0RLLvYBopDwooCyvnTwgYu;79,96
Pink Floyd;On the Turning Away - 2019 remix [Live];7gkYyPzHSzINK0PdNS5ehL;29,97
Luke Combs;Better Together;6gdLyYNuhWBzqwlOFSsXC7;75,98
Calvin Harris;One Kiss;6Mcd2tlwSiqsnMC85DF4Ns;41,99
Doja Cat;Say So;3Dv1eDb0MEgF93GpLXlucZ;83
Pink Floyd;Terminal Frost - Remix 2019;73fQJejfeIb6AyjIqyDiLF;28,01
J Balvin;LA CANCIÓN;0fea68AdmYNygeTGI4RC18;84,02
Usher;Yeah! (feat. Lil Jon & Ludacris);0utLWSIbolqT7KyppMuxKY;37,03
Juice WRLD;Empty;41MCdlvXOl62B7Kv86Bb1v;78,04
Pink Floyd;On the Turning Away - Remix 2019;6wDeZntXr5oWaXbAFLUHRf;29,05
Billie Eilish;when the party's over;43zdsphuZLzwA9k4DJhU0I;83,06
Pink Floyd;Signs of Life - 2019 remix [Live];3WYct0etrRZLnMovAs4Nnr;29,07
Lil Tecca;Ransom;1lOe9qE0vR9zwWQAOk6CoO;81,08
Pink Floyd;Sorrow - 2019 remix [Live];3dfe0fKRLb8WIqzK9KxAAQ;28,09
Jonas Brothers;Sucker;22vgEDb5hykfaTwLuskFGD;82,1
Pink Floyd;Yet Another Movie - 2019 remix [Live];5dlL1PVoVscf1hbcPRDg70;29,11
Billie Eilish;everything i wanted;3ZCTVFBt2Brf31RLEnCkWJ;83,12
Pink Floyd;Wish You Were Here - 2019 remix [Live];5PeyGshewkLwL59zOAIW4C;31,13
Drake;Money In The Grave (Drake ft. Rick Ross);5ry2OE6R2zPQFDO85XkgRb;79,14
Papa Roach;Falling Apart - Remastered 2020;2qkxnCKVOKbQZcO8TEcXH1;34,15
The Weeknd;Save Your Tears;5QO79kh1waicV47BqGRL3g;88,16
Ruined Conflict;Year 2020;6dEPod8uKS1oqcD7RZYy6c;4,17
Pop Smoke;What You Know Bout Love;1tkg4EHVoqnhR6iFEXb60y;85,18
Papa Roach;Face Everything and Rise - Remastered 2020;20JXjktPIqUV7bWr8nZkia;33,19
Cardi B;WAP (feat. Megan Thee Stallion);4Oun2ylbjFKMPTiaSbbCih;84,2
Iñigo Vontier;Year 2020;03VrhBjoCp0rSjajdhNE5N;2,21
Eminem;Godzilla (feat. Juice WRLD);7FIWs0pqAYbP91WWM0vlTQ;84,22
Papa Roach;Come Around - Remastered 2020;19XsdKehaBTpfhwS6OSdYr;33,23
Ariana Grande;positions;35mvY5S1H3J2QZyna3TFe0;87,24
Papa Roach;Elevate - Remastered 2020;5vi1VaZmV5CzibWGIcf9G4;33,25
Don Toliver;After Party;527k23H0A4Q0UJN3vGs0Da;81,26
Tigre Blanco;Year 2020;2Qzj5uQzUA85LjtcCBuAhZ;1,27
Powfu;death bed (coffee for your head);7eJMfftS33KTjuF7lTsMCx;85,28
Papa Roach;Periscope - Remastered 2020;3DFp3sRBA9iWzZqEPLq8gM;34,29
Nelly;Lil Bit;0NmuYnjETG3u3qx0OmEJev;78,3
kaestin;Year 2020;4BSnQlZksEtvmW4c2QOgEV;1,31
Polo G;21;3JKgcAa7r07ocVWcV8bS0H;80,32
Jai Wolf;Indian Summer - 2020 Encore Mix;60SJ6qZIetPNm1Q2IRGgRr;26,33
Ariana Grande;34+35;6Im9k8u9iIzKMrmV7BWtlF;85,34
Ema Spatula;Year 2020;6s0QJ4tfTOkkkOMQz8HCrg;8,35
Noah Cyrus;July;6J2LdBN97cDWn0MLxYh9HB;82,36
Hammock;EveryWhen - Bonus Track;2HGeIYpOrU9u5UR9Z98mx9;33,37
Luke Combs;Cold As You;7IWV29mryrqtO0JVgnPtfv;77,38
Haiti BaeB;Year 2020;0VWgZvez93QhJwTAVniUEw;1,39
Beach Bunny;Cloud 9;6vFsBXYczYsP0H3lgunZOm;81,4
Papa Roach;The Ending - Remastered 2020;6t1OmNgczg0oaGbpfzHVLR;32,41
Kane Brown;Be Like That - feat. Swae Lee & Khalid;5f1joOtoMeyppIcJGZQvqJ;80,42
YWB $uburb;Year 2020;6IPUBfLwEOPrzx4ZfEULYJ;1,43
Future;Drankin N Smokin;0k7wmahjkn389wAZdz19Cv;79,44
The Glitch Mob;Fortune Days - 2020 Remaster;5GWHujc41JAjaiH6gcCjgu;28,45
Tory Lanez;"WHATS POPPIN (feat. DaBaby; Tory Lanez & Lil Wayne) - Remix";2MbdDtCv5LUVjYy9RuGTgC;80,46
Kentomen;Year 2020;2wXYm7A2WwjjLkkzSIFS5j;1,47
Lil Nas X;HOLIDAY;6zFMeegAMYQo0mt8rXtrli;85,48
Papa Roach;Burn - Remastered 2020;1LRQROTy2wN5VO3V0VPbUc;30,49
Conan Gray;Maniac;6KfoDhO4XUWSbnyKjNp9c4;83,5
Naomi;Year 2020;7g4i6RAwjGTxCByFx7gz9W;1,51
21 Savage;Runnin;5SWnsxjhdcEDc7LJjq9UHk;79,52
The Glitch Mob;Animus Vox - 2020 Remaster;3L1iZJUXiAcUvDhIIi3KAq;28,53
Jack Harlow;WHATS POPPIN;1jaTQ3nqY3oAAYyCTbIvnM;80,54
Judgemental;Year 2020;0sm0np6NlfZdgBvlD8kkm3;1,55
King Von;Took Her To The O;7fEoXCZTZFosUFvFQg1BmW;77,56
Papa Roach;American Dreams - Remastered 2020;6HLk3upJqJAmVNdMbnxT8g;32,57
Lil Baby;On Me;4Iedi94TIaB2GGb1nMB68v;77,58
Liberator World;Year 2020;72ou2l2Mr5YKNW83ua1zv1;1,59
blackbear;hot girl bummer;6jRq8gaZhMUyy5RclRPcAf;82,6
Papa Roach;Still Swingin’ - Remastered 2020;1WeeMb71Hld9X5Bmq9IQup;31,61
SoFaygo;Knock Knock;6aHoPULNO7pSL2ZfUY0bU8;81,62
Johann Strauss II;"An der schönen blauen Donau; Walzer; Op. 314";5431KRbZtVF3tVgMR1lIYS;36,63
DJ Scheme;E-ER (feat. Lil Yachty);4N7i6RfJXMWfkx9Zr6pzkJ;78,64
Years & Years;King;0ehr4GsiW3MMc4cm6OTe4H;1,65
