Timestamp,Close
1325317920,4.39
1325375520,
1325433120,
1325490720,
1325548320,
1325605920,
1325663520,
1325721120,
1325778720,
1325836320,
1325893920,
1325951520,
1326009120,
1326066720,
1326124320,
1326181920,
1326239520,
1326297120,
1326354720,
1326412320,
1326469920,
1326527520,
1326585120,
1326642720,
1326700320,
1326757920,
1326815520,
1326873120,
1326930720,
1326988320,
1327045920,
1327103520,
1327161120,
1327218720,6.28
1327276320,
1327333920,
1327391520,
1327449120,
1327506720,
1327564320,
1327621920,
1327679520,
1327737120,
1327794720,
1327852320,
1327909920,
1327967520,
1328025120,
1328082720,
1328140320,
1328197920,6.25
1328255520,
1328313120,
1328370720,
1328428320,
1328485920,
1328543520,
1328601120,
1328658720,
1328716320,
1328773920,
1328831520,
1328889120,
1328946720,
1329004320,
1329061920,
1329119520,
1329177120,
1329234720,
1329292320,
1329349920,
1329407520,
1329465120,
1329522720,
1329580320,
1329637920,
1329695520,
1329753120,
1329810720,
1329868320,4.58
1329925920,
1329983520,
1330041120,
1330098720,
1330156320,
1330213920,
1330271520,
1330329120,
1330386720,
1330444320,
1330501920,
1330559520,
1330617120,
1330674720,
1330732320,
1330789920,
1330847520,
1330905120,
1330962720,4.98
1331020320,
1331077920,
1331135520,
1331193120,
1331250720,
1331308320,
1331365920,
1331423520,
1331481120,
1331538720,
1331596320,
1331653920,
1331711520,
1331769120,
1331826720,
1331884320,
1331941920,
1331999520,
1332057120,
1332114720,
1332172320,
1332229920,
1332287520,
1332345120,
1332402720,
1332460320,
1332517920,
1332575520,
1332633120,
1332690720,
1332748320,
1332805920,
1332863520,
1332921120,
1332978720,
1333036320,
1333093920,
1333151520,
1333209120,
1333266720,
1333324320,
1333381920,
1333439520,
1333497120,
1333554720,
1333612320,
1333669920,
1333727520,
1333785120,
1333842720,
1333900320,
1333957920,
1334015520,
1334073120,
1334130720,
1334188320,
1334245920,
1334303520,
1334361120,
1334418720,
1334476320,
1334533920,
1334591520,
1334649120,
1334706720,
1334764320,
1334821920,
1334879520,
1334937120,
1334994720,
1335052320,
1335109920,
1335167520,
1335225120,
