,metros_cubiertos,dormitorios,antiguedad,ambientes,precio
1165,28.0,0.0,0.0,1.0,85000.0
1166,76.0,2.0,80.0,3.0,98000.0
1167,80.0,1.0,55.0,2.0,88000.0
1168,53.0,1.0,0.0,2.0,158000.0
1169,60.0,2.0,45.0,3.0,115000.0
1170,32.0,0.0,50.0,1.0,21000.0
1171,0.0,2.0,45.0,3.0,115000.0
1172,115.0,2.0,45.0,3.0,360000.0
1173,48.0,0.0,2.0,1.0,95000.0
1174,41.0,1.0,40.0,2.0,74000.0
1175,67.0,2.0,2.0,3.0,165000.0
1176,138.0,3.0,55.0,4.0,280000.0
1177,78.0,3.0,0.0,4.0,160000.0
1178,110.0,3.0,0.0,4.0,360000.0
1179,120.0,3.0,45.0,4.0,255000.0
1180,85.0,0.0,15.0,0.0,150000.0
1181,37.0,1.0,30.0,2.0,44000.0
1182,45.0,1.0,0.0,2.0,75000.0
1183,206.0,3.0,0.0,4.0,235000.0
1184,201.0,4.0,0.0,5.0,315000.0
1185,45.0,1.0,7.0,0.0,35000.0
1186,96.0,2.0,11.0,3.0,299000.0
1187,61.0,2.0,0.0,3.0,135000.0
1188,42.0,1.0,0.0,2.0,90000.0
1189,47.0,1.0,2.0,2.0,149000.0
1190,63.0,2.0,42.0,3.0,129000.0
1191,0.0,3.0,40.0,4.0,289000.0
1192,73.0,2.0,0.0,3.0,280000.0
1193,48.0,1.0,0.0,2.0,138000.0
1194,56.0,2.0,15.0,3.0,150000.0
1195,69.0,2.0,0.0,3.0,218310.0
1196,670.0,5.0,0.0,7.0,1000000.0
1197,65.0,2.0,0.0,3.0,235000.0
1198,87.0,2.0,0.0,3.0,199000.0
1199,260.0,4.0,0.0,0.0,380000.0
1200,29.0,0.0,0.0,1.0,46500.0
1201,590.0,5.0,0.0,0.0,700000.0
1202,155.0,3.0,0.0,0.0,280000.0
1203,150.0,4.0,0.0,0.0,390000.0
1204,181.0,3.0,0.0,4.0,370000.0
1205,270.0,4.0,0.0,0.0,520000.0
1206,100.0,3.0,40.0,4.0,185000.0
1207,580.0,5.0,0.0,0.0,840000.0
1208,65.0,2.0,20.0,4.0,65000.0
1209,69.0,2.0,0.0,3.0,109000.0
1210,80.0,2.0,0.0,3.0,115000.0
1211,68.0,2.0,0.0,3.0,132000.0
1212,250.0,3.0,0.0,4.0,300000.0
1213,65.0,2.0,25.0,3.0,75000.0
1214,131.0,2.0,0.0,3.0,200000.0
1215,40.0,1.0,2.0,2.0,98000.0
1216,61.0,2.0,0.0,3.0,165000.0
1217,32.0,1.0,50.0,2.0,90000.0
1218,94.0,3.0,33.0,4.0,198000.0
1219,23.0,0.0,0.0,1.0,43000.0
1220,81.0,2.0,5.0,3.0,230000.0
1221,41.0,2.0,50.0,3.0,86900.0
1222,75.0,2.0,0.0,3.0,180000.0
1223,40.0,1.0,0.0,2.0,64000.0
1224,30.0,0.0,0.0,1.0,86000.0
1225,43.0,1.0,0.0,2.0,74900.0
1226,289.0,3.0,0.0,7.0,380000.0
1227,75.0,2.0,12.0,3.0,160000.0
1228,60.0,2.0,60.0,3.0,120000.0
1229,48.0,1.0,0.0,2.0,125000.0
1230,43.0,1.0,0.0,2.0,129000.0
1231,43.0,1.0,0.0,2.0,129000.0
1232,193.0,3.0,0.0,0.0,340000.0
1233,195.0,4.0,0.0,5.0,319000.0
1234,175.0,3.0,0.0,0.0,325000.0
1235,0.0,3.0,0.0,4.0,410000.0
1236,31.0,1.0,30.0,2.0,55000.0
1237,40.0,1.0,50.0,2.0,59000.0
1238,420.0,5.0,0.0,0.0,598000.0
1239,60.0,2.0,0.0,3.0,145000.0
1240,170.0,3.0,0.0,0.0,338000.0
1241,29.0,1.0,32.0,2.0,58000.0
1242,222.0,3.0,0.0,0.0,420000.0
1243,234.0,3.0,0.0,0.0,295000.0
1244,197.0,4.0,0.0,7.0,160000.0
1245,53.0,2.0,50.0,3.0,63000.0
1246,270.0,3.0,0.0,6.0,570000.0
1247,60.0,1.0,0.0,2.0,105000.0
1248,74.0,1.0,0.0,0.0,59000.0
1249,42.0,1.0,2.0,2.0,75000.0
1250,78.0,2.0,7.0,3.0,279000.0
1251,41.0,1.0,0.0,2.0,79000.0
1252,52.0,2.0,0.0,3.0,109900.0
