,Unnamed: 0,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
39683,39683,sell,apartment,Castelar,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,Argentina,Bs.As. G.B.A. Zona Oeste,3435607.0,"-34.6525919,-58.6395083",-34.6525919,-58.6395083,115000.0,USD,2029117.5,115000.0,38.0,38.0,3026.315789473684,3026.315789473684,5.0,2.0,742.0,http://www.properati.com.ar/18p2l_venta_departamento_castelar_alfredo-bayardi-2528_parrilla_terraza_garage_estrenar_faustino-paez,"VENTA Y ALQUILER - CASTELAR CENTRO - 2 AMB a dividir AL FTE A ESTRENAR,  Hermoso depto c/2 cocheras independientes ideal inversorCarpintería preparada para dividir el mismo.BAÑO COMPLETO.cocheras y TERRAZAS INDIVIDUALES CON PARRILLA OPTATIVAS.CONSULTE.Matr. CMCPLM No.  768CUCICBA      No. 6481Tel: +54 (11)    Tel: +54 (11)    iMESSAGE: tp:// -  - FAUSTINO PAEZ",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/0/EkAZRr1wOYVoWidonwKgymUkrDs=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/fau895_2.jpg%3F1501537088
39686,39686,sell,apartment,Ramos Mejía,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,Argentina,Bs.As. G.B.A. Zona Oeste,3429617.0,"-34.6436012,-58.5609816",-34.643601200000006,-58.5609816,64000.0,USD,1129248.0,64000.0,35.0,32.0,1828.571428571429,2000.0,1.0,1.0,800.0,http://www.properati.com.ar/18p2s_venta_departamento_ramos-mejia_corrientes-47_balcon_piscina_terraza_garage_placard_faustino-paez,"Ramos Mejía - Venta - 1 AMBIENTE interno - apto profesional .PILETA Y TERRAZA EN COMÚN.3 CUADRAS DE ESTACIÓN RAMOS MEJÍA, Y 2 CUADRAS DE AV RIVADAVIA Y AV DE MAYO. SUPERMERCADOS COMERCIOS Y DEMÁS. -DORMITORIO CON PLACARD, BALCÓN EN DORMITORIO -BAÑO CON GRIFERIAS  ,DUCHA CON MAMPARA. -LIVING COMEDOR CON MESADA MÁRMOL, GRIFERIA MONOCOMANDO. -PILETA USO COMÚN SOBRE DECK MADERA. -COCHERAS SUBTERRÁNEAS opcionales. IDEAL PARA INVERSORES, MUY RENTABLE. ESCRITURACIÓN DIRECTA.Matr. CMCPLM No.  768CUCICBA      No. 6481Tel: +54 (11)    Tel: +54 (11)    iMESSAGE: tp:// -  - FAUSTINO PAEZ",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/8/JJsFq1ENvFBPEYKFthJcSC6X344=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/FAU905_2.jpg%3F1501537091
39717,39717,sell,apartment,Mar del Plata,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,Argentina,Buenos Aires Costa Atlántica,3430863.0,"-38.0125946,-57.5645499",-38.0125946,-57.5645499,70000.0,USD,1235115.0,70000.0,42.0,42.0,1666.666666666667,1666.666666666667,9.0,1.0,1300.0,http://www.properati.com.ar/18p4x_venta_departamento_mar-del-plata_catamarca-3663_balcon_gimnasio_parrilla_piscina_quincho_luminoso_vista_sauna_estrenar_troglio-asociados,"Venta de Departamento 1 AMBIENTE, Mar del Plata.SE TRATA DE UN DEPARTAMENTO EXTERNO A ESTRENAR DENTRO DE UN COMPLEJO DE 4 TORRES, TERMINADAS HACE MENOS DE UN AÑO,  EL CUAL ESTA COMPUESTO POR AMPLIO AMBIENTE CON BALCÓN A LA CALLE  Y GRAN VISTA PANORÁMICA , BAÑO CON DUCHA Y COCINA SEPARADA; POSEE CALDERA DUAL CON RADIADORES EN TODOS LOS AMBIENTES. SUPER LUMINOSO Y CON POSIBILIDAD DE DIVIDIRLO. EL EDIFICIO CUENTA CON  SALA DE GIMNASIO , SAUNA , QUINCHO CON PARRILLA Y PILETA CLIMATIZADA AL DESCUBIERTO, ACOMPAÑADO CON UNA VISTA  EXCELENTE SOBRE LA CIUDAD.LAS EXPENSAS ESTÁN ENTRE $1.000.- Y $1.200.-**NO APTO CREDITO**TROGLIO Y ASOCIADOSTEL: 492-0992 -  - TROGLIO ASOCIADOS",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/EPCkbAxN3-Mc-dVpgfPuLCn1mks=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/TRO397_2.jpg%3F1501537428
39719,39719,sell,apartment,Mar del Plata,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,Argentina,Buenos Aires Costa Atlántica,3430863.0,"-38.0078135,-57.5607011",-38.0078135,-57.5607011,100000.0,USD,1764450.0,100000.0,47.0,47.0,2127.659574468085,2127.659574468085,6.0,2.0,1500.0,http://www.properati.com.ar/18p50_venta_departamento_mar-del-plata_catamarca-3055_baulera_quincho_luminoso_garage_amoblado_placard_troglio-asociados,"Venta de Departamento 2 AMBIENTES, Mar del Plata.SE TRATA DE UN EXCELENTE DEPARTAMENTO DE 2 AMBIENTES AL CONTRA-FRENTE SUPER LUMINOSO , AMOBLADO, EL CUAL ESTA COMPUESTO POR AMPLIA COCINA COMEDOR, DORMITORIO CON PLACARD ; BAÑO COMPLETO CON DUCHA.-BAULERA.- POSEE CARPINTERÍA  DE ALUMINIO ADONIZADO CON DVH; CALEFACCIÓN POR RADIADORES CON CALDERA INDIVIDUAL ; PISOS DE PORCELANATO Y PISO FLOTANTE EN EL DORMITORIO; LA PUERTA DE ENTRADA ES BLINDADA E IGNÍFUGA (CONTRA FUEGO).DENTRO DEL EQUIPAMIENTO DEL INMUEBLE SE PUEDE APRECIAR QUE POSEE TODA LA INSTALACIÓN DE LUZ CON PLAFONES Y  LUCES DICROICAS DIRECCIONALES CON LAMPARAS LED; INSTALACIÓN DEL CABLEADO PARA TV E INTERNET CON CABLE VISIÓN EN TODOS SUS AMBIENTES; CORTINADOS BLACK-OUT Y CORTINAS REGULABLES ROLLER BLANCO Y VOILE TRASLUCIDO EN COLOR BLANCO; 1 MESA EXTENSIBLE DE MADERA CON 8 SILLAS TAPIZADAS EN TELA CHENILL ROJO; 1 SOFA CON ALMOHADAS Y SOFA ESQUINERO EN TELA CHENILL ROJO.-EL EDIFICIO CUENTA  CON ASCENSOR DE ÚLTIMA GENERACIÓN ; MONTA -AUTOS HIDRÁULICO Y QUINCHO CON SOLÁRIUM.OPCIONAL: COCHERA DESCUBIERTA U$S 15000.-TROGLIO Y ASOCIADOSTEL: 492-0992 -  - TROGLIO ASOCIADOS",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/8/fw7buTV5MWY-aYOPDq8vWjsJBIs=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/TRO400_2.jpg%3F1501537428
39722,39722,sell,apartment,Caballito,|Argentina|Capital Federal|Caballito|,Argentina,Capital Federal,3435874.0,"-34.6198095,-58.4283437",-34.619809499999995,-58.428343700000006,135000.0,USD,2382007.5,135000.0,83.0,60.0,1626.5060240963855,2250.0,1.0,3.0,1000.0,http://www.properati.com.ar/18p5i_venta_departamento_caballito_la-plata-avda-al-400_lavadero_quincho_terraza_luminoso_buyma-propiedades,"3 AMBIENTES en CABALLITO, CAPITAL FEDERALAV. LA PLATA Y GUAYAQUILExcelente PH muy luminoso con amplios ventanales al este y oeste, con entrepiso en segundo dormitorio (superficie no incluida en las medidas que se expresan) 2 acondicionadores split F/C, cocina y baño, lavadero y terraza propia con quincho cerrado. En el Centro de Caballito, subte A, 2 cuadras de Pque. Rivadavia - Muy bajas expensas - Superficie cubierta 60 m2 (más entrepiso) - Superficie descubierta uso exclusivo 22,70 m2 total de 82,70m2, LLAMENOS AL  BUYMA PROPIEDADES  S.R.L.  , Las medidas consignadas no son exactas tienen un fin meramente orientativo, no vinculantes, las medidas y superficies reales surgirán del título de propiedad que será presentado en su oportunidad a las 48 hs de ser requerido al Vendedor y/o Locador del inmueble. El monto real de las expensas, así como el detalle del mismo deberá ser presentado por el administrador y/o el consejo de administración del edificio cuando se requiera. Venta sujeta a que el propietario cumpla con la resolución 2371 y sus modificatorias de afip.- -  - BUYMA PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/pfphsyf6I1soo07t4qfEAJj-5Jw=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/buy308_2.jpg%3F1501537872
39731,39731,sell,apartment,Villa Ballester,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,Argentina,Bs.As. G.B.A. Zona Norte,3427467.0,"-34.5459337,-58.5483199",-34.545933700000006,-58.5483199,80000.0,USD,1411560.0,80000.0,40.0,36.0,2000.0,2222.222222222222,8.0,2.0,1060.0,http://www.properati.com.ar/18p7x_venta_departamento_villa-ballester_combet-4680_balcon_placard_rocchio-propiedades_bdw,"Venta de Departamento 2 AMBIENTES en Villa Ballester, General San MartínDEPARTAMENTO 2 AMBIENTES, LIVING-COMEDOR , COCINA INTEGRADA , BAÑO COMPLETO, 1 DORMITORIO CON PLACARD, BALCÓN AL FRENTE. EL EDIFICIO CUENTA CON   PISCINACONSULTE.PARA MAS INFORMACIÓN COMUNÍQUESE CON NOSOTROS AL  /  DE LUN A VIE DE 9.30 A 12.30 HS / 15.30 A 19.30 HS Y SAB. DE 9.30 A 13HS O INGRESE EN NUESTRA WEB:  TAMBIÉN PODES ENCONTRARNOS EN: , TWITTER/, GOOGLE+ Y LINKEDIN. -  - ROCCHIO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/fBaOD35Kc6bX-D3DTY-8HUgK6yE=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/ROC865_2.jpg%3F1501537982
39739,39739,sell,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,Argentina,Capital Federal,3430348.0,"-34.542355,-58.474485",-34.542355,-58.474485,428000.0,USD,7551846.0,428000.0,203.0,161.0,2108.3743842364534,2658.385093167702,11.0,5.0,4553.0,http://www.properati.com.ar/18p8f_venta_departamento_nunez_av-san-isidro-labrador-4300_balcon_lavadero_parrilla_terraza_luminoso_vista_dependencias_garage_nestor-lombardo-propiedades_bgs,"Venta de Departamento 5 AMBIENTES en Nuñez, Capital FederalUNICO DUPLEX TODO A NUEVO SOBRE LA AVENIDA MAS PÍNTORESCA DE NUÑEZ ( AVENIDA SAN ISIDRO LABRADOR) VISTA PANORAMICA A CIUDAD Y VERDE, 100M DE CABILDO, 500 M DE DE AVENIDA GENERAL PAZ Y CABILDO, PISOS 11 Y 12, GENEROSAS MEDIDAS, AMBIENTES MUY AMPLIOS Y LUMINOSOS, BALCON CORRIDO CON PROTECCION PARA CHICOS, GARAGE PROPIO EN EL EDIFICIO PARA DOS AUTOS, CIRCULACION INTERNA HACIA EL HALL DE ENTRADA DE LA COCHERA, PUERTAS BLINDADAS, 3 DORM., 2 BAÑOS CPTOS. 1 EN SUITTE, COCINA Y COM. DIARIO DE 8 X 4, DEPENDENCIAS DE SERVICIO COMPLETAS, LAVADERO INDEP. GRAN LIV-COMEDOR, IMPORTANTE ESCALERA DE MADERA AL PISO 12, PLAY-ROOM O SALA DE JUEGOS DE 8X5 C/COCINA/BREAKFAST, ( SUP. CUBIERTA DEL PLAY-ROOM 45M) BAÑO CPTO. BCON TERRAZA DE 4X3,50 C/PARRILLA PROPIA, AGUAS ARGENTINAS POR EXPENSAS DIGNO DE VISITARLO, ( NO ESTA ALQUILADO, VIVEN LOS DUEÑOS), CUALQUIER CONSULTA DIRIGIRSE AL SR. NESTOR LOMBARDO AL 1540346435 -  - NESTOR LOMBARDO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/2/YxjfwasrzyryvmGvMSBsISBJ26I=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/nlp50_2.jpg%3F1501538053
39749,39749,sell,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,Argentina,Capital Federal,3430348.0,"-34.5541291,-58.4746934",-34.554129100000004,-58.4746934,107000.0,USD,1887961.5,107000.0,44.0,32.0,2431.818181818182,3343.75,1.0,1.0,1100.0,http://www.properati.com.ar/18p9e_venta_departamento_nunez_nunez-3253_balcon_terraza_luminoso_estrenar_estela-da-onofrio-propiedades,"Venta de Departamento 1 AMBIENTE a estrenar en NuñezMONOAMBIENTE DE 8,00 X 4,00 DIVISIBLE AL FRENTE A ESTRENAR C/ BALCON TERRAZA 4x3 - ZONA RESIDENCIAL - MUY LUMINOSO - APTO PROFESIONAL - BAJAS EXPENSASEl valor consignado de expensas está sujeto a variación y/o ajuste.Las medidas de los ambientes y los m2 indicados son aproximados y solo a título informativo . -  - ESTELA DONOFRIO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/5/fzmhckq7iEuP-y9nl142C3Rc5dk=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/EDP315_2.jpg%3F1501538212
39750,39750,sell,apartment,Villa Devoto,|Argentina|Capital Federal|Villa Devoto|,Argentina,Capital Federal,3427451.0,"-34.6071852,-58.5121192",-34.6071852,-58.5121192,139000.0,USD,2452585.5,139000.0,59.0,52.0,2355.93220338983,2673.076923076923,3.0,3.0,2700.0,http://www.properati.com.ar/18p9j_venta_departamento_villa-devoto_segurola-av-3221_luminoso_mas-negocios-inmobiliarios,"Venta de Departamento 3 AMBIENTES en Villa Devoto, Capital Federal Excelente 3 ambientes.A una  cuadra de Av. Beiro.  Muy luminoso. Baño y cocina reciclados. Apto credito. -  - MAS NEGOCIOS INMOBILIARIOS",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/6/kmHFaE-aX7SCwlQ_Kvp1qJiv1cA=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/MNE61_2.jpg%3F1501538219
39751,39751,sell,apartment,Villa Urquiza,|Argentina|Capital Federal|Villa Urquiza|,Argentina,Capital Federal,3433775.0,"-34.5761303951,-58.4851207877",-34.5761303951,-58.485120787700005,295000.0,USD,5205127.5,295000.0,104.0,86.0,2836.538461538461,3430.232558139535,1.0,4.0,2900.0,http://www.properati.com.ar/18p9k_venta_departamento_villa-urquiza_olazabal-av-5014_balcon_baulera_suite_lavadero_patio_electrogeno_garage_subte-linea-b_mas-negocios-inmobiliarios,"Venta de Departamento 4 AMBIENTES, apto créditoPrimer piso contra frente, con Cochera semi cubierta para dos autos y Baulera propia.Posee amplio balcón corrido y aterrazado. Lavadero Independiente y gran patio cubierto. Cocina comedor. Baño en Suite.Calefacción por loza radiante individual.Edificio con grupo electrógeno.Excelente ubicación sobre la avenida Olazabal. -  - MAS NEGOCIOS INMOBILIARIOS",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/7/1ZIEHOcikBYUzhM40zDImHV0fxc=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/MNE62_2.jpg%3F1501538219
