Date,price
2018-05-17,8063.0
2018-05-27,7366.7
2018-06-06,7661.0
2018-06-16,6505.8
2018-06-26,6082.1
2018-07-06,6617.7
2018-07-16,6729.9
2018-07-26,7937.0
2018-08-05,7027.1
2018-08-15,6256.9
2018-08-25,6734.8
2018-09-04,7377.5
2018-09-14,6483.7
2018-09-24,6584.1
2018-10-04,6584.2
2018-10-14,6326.8
2018-10-24,6530.7
2018-11-03,6386.2
2018-11-13,6429.2
2018-11-23,4398.0
2018-12-03,3897.8
2018-12-13,3315.3
2018-12-23,3944.4
2019-01-02,3873.8
2019-01-12,3597.2
2019-01-22,3580.1
2019-02-01,3467.9
2019-02-11,3631.8
2019-02-21,3936.6
2019-03-03,3809.5
2019-03-13,3865.1
2019-03-23,4002.5
2019-04-02,4859.3
2019-04-12,5054.2
2019-04-22,5346.7
2019-05-02,5493.8
2019-05-12,6984.8
2019-05-22,7635.7
2019-06-01,8545.7
2019-06-11,7888.0
2019-06-21,10179.3
2019-07-01,10616.6
2019-07-11,11342.3
2019-07-21,10714.4
2019-07-31,10082.0
2019-08-10,11314.5
2019-08-20,10752.6
2019-08-30,9585.4
2019-09-09,10309.0
2019-09-19,10250.5
2019-09-29,8049.1
2019-10-09,8566.7
2019-10-19,7957.3
2019-10-29,9411.3
2019-11-08,8778.2
2019-11-18,8208.4
2019-11-28,7426.7
2019-12-08,7524.4
2019-12-18,7276.0
2019-12-28,7321.5
2020-01-07,8155.7
2020-01-17,8913.1
2020-01-27,8866.6
2020-02-06,9772.0
2020-02-16,9932.3
2020-02-26,8800.3
2020-03-07,8887.8
2020-03-17,5261.1
2020-03-27,6373.4
2020-04-06,7332.3
2020-04-16,7085.6
2020-04-26,7678.9
2020-05-06,9151.4
2020-05-16,9379.5
2020-05-26,8842.5
2020-06-05,9631.2
2020-06-15,9425.4
2020-06-25,9247.5
2020-07-05,9081.0
2020-07-15,9198.7
2020-07-25,9704.1
2020-08-04,11184.7
2020-08-14,11750.8
2020-08-24,11753.5
2020-09-03,10168.8
2020-09-13,10326.0
2020-09-23,10237.3
2020-10-03,10544.2
2020-10-13,11423.8
2020-10-23,12934.1
2020-11-02,13561.4
2020-11-12,16294.7
2020-11-22,18412.9
2020-12-02,19218.8
2020-12-12,18808.9
2020-12-22,23823.2
2021-01-01,29359.9
2021-01-11,35544.3
2021-01-21,30842.1
2021-01-31,33108.1
2021-02-10,44836.0
